"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"3469","Amanecer","Mark Cotta Vaz","ALFAGUARA",NA,4.28,269259,139,"Paperback","https://www.bookdepository.com/es/Amanecer-Mark-Cotta-Vaz/9786071114426?ref=grid-view"
"3470","ASSiMiL El Alemán - Colección 'sin esfuerzo' - El libro / Deutsch Sprachkurs auf Spanisch","","Assimil-Verlag GmbH",NA,4.33,33,704,"Hardback","https://www.bookdepository.com/es/ASSiMiL-El-Alemán-Colección-sin-esfuerzo-El-libro-Deutsch-Sprachkurs-auf-Spanisch/9782700505467?ref=grid-view"
"3471","En Busca de La Maravilla Perdida","Geronimo Stilton","PLANETA",NA,4.04,3082,128,"Paperback","https://www.bookdepository.com/es/En-Busca-de-La-Maravilla-Perdida-Geronimo-Stilton/9786070701009?ref=grid-view"
"3472","Donde Viven Los Monstruos (Album Clasico)","Maurice Sendak","ALFAGUARA INFANTIL",NA,4.22,828261,40,"Hardback","https://www.bookdepository.com/es/Donde-Viven-Los-Monstruos-Album-Clasico-Maurice-Sendak/9788420430225?ref=grid-view"
"3473","El lado explosivo de jude / Crash","Nicole Williams","Montena",NA,3.99,58929,352,"Paperback","https://www.bookdepository.com/es/El-lado-explosivo-de-jude-Crash-Nicole-Williams/9788490430361?ref=grid-view"
"3474","La Historia del Mundo En 25 Historias /The History of the World in 25 Stories","Javier Alonso López","Montena",NA,4.26,19,352,"Paperback","https://www.bookdepository.com/es/La-Historia-del-Mundo-En-25-Historias-History-World-25-Stories-Javier-Alonso-López/9788490430415?ref=grid-view"
"3475","Silber","Kerstin Gier","B de BLOK",NA,4.06,25750,349,"Paperback","https://www.bookdepository.com/es/Silber-Kerstin-Gier/9788415579786?ref=grid-view"
"3476","Spanish Dictionary for Beginners","Jane Straker","Usborne Books",NA,3.75,12,128,"Paperback","https://www.bookdepository.com/es/Spanish-Dictionary-for-Beginners-Jane-Straker/9780794526368?ref=grid-view"
"3477","Spanish Now!: Level 1","Ruth J. Silverstein","Peterson's Guides,U.S.",NA,3.69,81,530,"Paperback","https://www.bookdepository.com/es/Spanish-Now-Level-1-Ruth-J-Silverstein/9780764129339?ref=grid-view"
"3478","Dora La Exploradora","Leslie Valdes","Libros para ninos",NA,3.72,167,24,"Paperback","https://www.bookdepository.com/es/Dora-La-Exploradora-Leslie-Valdes/9780689877490?ref=grid-view"
"3479","The Colloquial Spanish of Latin America","Roberto Carlos Rodriguez-saona","Taylor & Francis Ltd",NA,3.89,9,328,"Mixed media product","https://www.bookdepository.com/es/Colloquial-Spanish-Latin-America-Roberto-Carlos-Rodriguez-saona/9780415426947?ref=grid-view"
"3480","El Capitan Calzoncillos y la Invasion de las Horribles Senoras del Espacio Sideral","Dav Pilkey","Scholastic en Espanol",NA,4.19,15278,134,"Paperback","https://www.bookdepository.com/es/El-Capitan-Calzoncillos-y-la-Invasion-de-las-Horribles-Senoras-del-Espacio-Sideral-Dav-Pilkey/9780439353014?ref=grid-view"
"3481","Spanish Now!: Level 1","Ruth J. Silverstein","Peterson's Guides,U.S.",NA,3.69,81,530,"Paperback","https://www.bookdepository.com/es/Spanish-Now-Level-1-Ruth-J-Silverstein/9780764129339?ref=grid-view"
"3482","El Capitan Calzoncillos y la Invasion de las Horribles Senoras del Espacio Sideral","Dav Pilkey","Scholastic en Espanol",NA,4.19,15278,134,"Paperback","https://www.bookdepository.com/es/El-Capitan-Calzoncillos-y-la-Invasion-de-las-Horribles-Senoras-del-Espacio-Sideral-Dav-Pilkey/9780439353014?ref=grid-view"
"3483","GCSE Music Core Content Workbook (Including Answers) (A*-G Course)","CGP Books","Coordination Group Publications Ltd (CGP)",NA,4,1,66,"Paperback","https://www.bookdepository.com/es/GCSE-Music-Core-Content-Workbook-Including-Answers-G-Course-CGP-Books/9781841462875?ref=grid-view"
"3484","Hex Hall 1. Condena","Rachel Hawkins","PLANETA",NA,3.93,136160,256,"Paperback","https://www.bookdepository.com/es/Hex-Hall-1-Condena-Rachel-Hawkins/9786070706387?ref=grid-view"
"3485","Orgullo y Prejuicio","Jane Austen","BAMBU",NA,4.26,3045754,368,"Hardback","https://www.bookdepository.com/es/Orgullo-y-Prejuicio-Jane-Austen/9788483431078?ref=grid-view"
"3486","Canciones, Poemas y Romances Para Ninos","Federico Garcia Lorca","Octaedro",NA,4.5,2,96,"Paperback","https://www.bookdepository.com/es/Canciones-Poemas-y-Romances-Para-Ninos-Federico-Garcia-Lorca/9788480636780?ref=grid-view"
"3487","Las aventuras de Tintin","Herge","Editorial Juventud S.A.",NA,3.94,9254,62,"Hardback","https://www.bookdepository.com/es/Las-aventuras-de-Tintin-Herge/9788426103833?ref=grid-view"
"3488","Pippi calzaslargas","Astrid Lindgren","Editorial Juventud S.A.",NA,4.13,170555,135,"Hardback","https://www.bookdepository.com/es/Pippi-calzaslargas-Astrid-Lindgren/9788426131928?ref=grid-view"
"3489","Memorias de una Gallina/ Memories of a Hen","Concha Lopez Narvaez","Grupo Anaya Comercial",NA,4.14,88,96,"Paperback","https://www.bookdepository.com/es/Memorias-de-una-Gallina-Memories-Hen-Concha-Lopez-Narvaez/9788420735313?ref=grid-view"
