"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"624","Estrellas Fugaces / Extraordinary Means","Robyn Schneider","Alfaguara Juvenil",13993,3.95,16961,328,"Paperback","https://www.bookdepository.com/es/Estrellas-Fugaces-Extraordinary-Means-Robyn-Schneider/9786073145435?ref=grid-view"
"625","Atrapa la luna / Keeping the Moon","Sarah Dessen","Lectorum Pubns",19655,3.85,63104,254,"Paperback","https://www.bookdepository.com/es/Atrapa-la-luna-Keeping-Moon-Sarah-Dessen/9788415532088?ref=grid-view"
"626","Preguntale a Alicia","Anonimo","WWW.Bnpublishing.com",10707,3.76,237088,144,"Paperback","https://www.bookdepository.com/es/Preguntale-Alicia-Anonimo/9781607965855?ref=grid-view"
"627","Santa Biblia para chicas NVI","Zondervan","Vida Publishers",30285,4.25,4,800,"Leather / fine binding","https://www.bookdepository.com/es/Santa-Biblia-para-chicas-NVI-Zondervan/9780829765632?ref=grid-view"
"628","Los Hermanos Templeton / The Templeton Twins Have an Idea","Ellis Weiner","B DE BLOCK",16396,3.71,2017,227,"Paperback","https://www.bookdepository.com/es/Los-Hermanos-Templeton-Templeton-Twins-Have-Idea-Ellis-Weiner/9788415579069?ref=grid-view"
"629","Los tres Mosqueteros","Alejandro Dumas","Selector, S.A. de C.V.",8499,3.69,203,80,"Paperback","https://www.bookdepository.com/es/Los-tres-Mosqueteros-Alejandro-Dumas/9789706436337?ref=grid-view"
"630","Flotante","David Wiesner","Oceano Travesia",15974,4.21,26014,40,"Hardback","https://www.bookdepository.com/es/Flotante-David-Wiesner/9789707773608?ref=grid-view"
"631","Tangerine (Spanish)","Edward Bloor","HOUGHTON MIFFLIN",11437,3.61,28501,364,"Paperback","https://www.bookdepository.com/es/Tangerine-Spanish-Edward-Bloor/9780544336339?ref=grid-view"
"632","Marina","Carlos Ruiz Zafon","Planeta Publishing",14967,4.05,43624,290,"Paperback","https://www.bookdepository.com/es/Marina-Carlos-Ruiz-Zafon/9786070719967?ref=grid-view"
"633","El Llamado de la Estirpe","Antonio Malpica","OCEANO",17304,4.43,360,392,"Paperback","https://www.bookdepository.com/es/El-Llamado-de-la-Estirpe-Antonio-Malpica/9786078303113?ref=grid-view"
"634","Preguntale a Alicia","Anonimo","WWW.Bnpublishing.com",10707,3.76,237088,144,"Paperback","https://www.bookdepository.com/es/Preguntale-Alicia-Anonimo/9781607965855?ref=grid-view"
"635","Quien Fue Marie Curie?","Megan Stine","Loqueleo",11422,4.31,847,105,"Paperback","https://www.bookdepository.com/es/Quien-Fue-Marie-Curie-Megan-Stine/9781631134241?ref=grid-view"
"636","Los Ojos de Carmen","Veronica Moscoso","Veromundo",9249,2.86,72,78,"Paperback","https://www.bookdepository.com/es/Los-Ojos-de-Carmen-Veronica-Moscoso/9780929724928?ref=grid-view"
"637","Esperanza Rising","Pam Munoz Ryan","Perfection Learning",16289,3.98,75768,262,"Hardback","https://www.bookdepository.com/es/Esperanza-Rising-Pam-Munoz-Ryan/9780756910563?ref=grid-view"
"638","Max Va Al Dentista","Adria F Klein","Capstone Press",6054,3.68,28,24,"Paperback","https://www.bookdepository.com/es/Max-Va-Al-Dentista-Adria-F-Klein/9781404830394?ref=grid-view"
"639","Una Cancion Macabra","William Alexander","Editorial Oceano de Mexico",13929,3.78,431,200,"Paperback","https://www.bookdepository.com/es/Una-Cancion-Macabra-William-Alexander/9786077356905?ref=grid-view"
"640","Estrellas Fugaces / Extraordinary Means","Robyn Schneider","Alfaguara Juvenil",13993,3.95,16961,328,"Paperback","https://www.bookdepository.com/es/Estrellas-Fugaces-Extraordinary-Means-Robyn-Schneider/9786073145435?ref=grid-view"
"641","Amor a la Vida y Otros Relatos","Jack London","BAMBU",26955,4.08,1341,240,"Hardback","https://www.bookdepository.com/es/Amor-la-Vida-y-Otros-Relatos-Jack-London/9788483430750?ref=grid-view"
"642","Platero y Yo","Juan Ramon Jimenez","Edaf Antillas",13476,3.8,6871,112,"Paperback","https://www.bookdepository.com/es/Platero-y-Yo-Juan-Ramon-Jimenez/9788441421561?ref=grid-view"
